date,symbol,Open,High,Low,Close,Volume
2024-06-03,3MINDIA.NS,32472.8534,32818.2458,31806.2553,32202.2637,12641
2024-06-03,AARTIDRUGS.NS,485.0423,488.2177,473.8788,484.8439,142890
2024-06-03,AARTIIND.NS,634.1221,634.1221,611.5104,621.4496,1454778
2024-06-03,ABB.NS,8289.4805,8547.4145,8186.8433,8511.333,537121
2024-06-03,ABBOTINDIA.NS,24699.7695,24984.7668,24511.0534,24644.3379,16412
2024-06-03,ABFRL.NS,300.0,301.0,290.4,292.8,3772643
2024-06-03,ACC.NS,2636.4438,2668.7328,2570.6808,2649.083,1017937
2024-06-03,ACCELYA.NS,1448.3846,1467.4024,1418.0986,1425.6255,16028
2024-06-03,ACE.NS,1491.6992,1511.5885,1431.882,1442.0753,341655
2024-06-03,ADANIPORTS.NS,1528.4732,1599.9138,1514.6587,1562.96,23398347
2024-06-03,ADFFOODS.NS,215.717,223.9455,209.4593,210.7897,144998
2024-06-03,AHLUCONT.NS,1322.0245,1322.0245,1202.0446,1216.9111,205222
2024-06-03,AIAENG.NS,3678.8899,3695.6795,3611.0404,3638.3975,505956
2024-06-03,AJANTPHARM.NS,2274.4431,2296.3901,2204.4258,2259.3423,120363
2024-06-03,ALEMBICLTD.NS,95.1861,95.9363,92.6071,93.1229,776804
2024-06-03,ALLCARGO.NS,67.5674,67.8091,65.7791,66.6974,1492606
2024-06-03,ALOKINDS.NS,26.75,26.75,25.65,25.75,7822230
2024-06-03,AMBUJACEM.NS,660.292,668.8422,645.9099,663.0597,11189978
2024-06-03,ANANTRAJ.NS,404.2603,406.65,391.2662,397.1907,1910120
2024-06-03,ANDHRSUGAR.NS,99.1321,99.9554,95.6937,96.2749,302072
2024-06-03,APARINDS.NS,8123.141,8143.72,7681.439,7884.4189,145824
2024-06-03,APCOTEXIND.NS,394.8515,397.1993,383.3045,384.5023,41202
2024-06-03,APLAPOLLO.NS,1544.6607,1557.1703,1508.5659,1539.469,817335
2024-06-03,APLLTD.NS,896.1899,906.0191,880.8197,883.9998,61507
2024-06-03,APOLLOHOSP.NS,5946.215,5977.8518,5773.6284,5812.02,804820
2024-06-03,ARVIND.NS,378.2079,379.6128,350.0615,354.906,1823705
2024-06-03,ASAHIINDIA.NS,593.5421,593.5421,577.7606,589.9193,90832
2024-06-03,ASHIANA.NS,350.6329,360.8807,348.7206,350.878,98491
2024-06-03,ASHOKA.NS,199.0,200.0,191.95,195.05,6228859
2024-06-03,ASHOKLEY.NS,111.7333,113.1359,109.8315,112.4465,54498356
2024-06-03,ASIANPAINT.NS,2860.7441,2860.7441,2773.5157,2779.7219,952701
2024-06-03,ASTEC.NS,1120.0,1167.95,1093.0,1100.25,74348
2024-06-03,ASTRAL.NS,2134.4092,2165.2628,2105.3443,2132.4219,756841
2024-06-03,ASTRAMICRO.NS,909.6394,913.6159,856.4528,866.6924,681751
2024-06-03,ASTRAZEN.NS,6307.6896,6307.6896,5987.8553,5999.3257,8461
2024-06-03,ATUL.NS,5771.0767,5771.0767,5582.2015,5685.8354,38794
2024-06-03,AUROPHARMA.NS,1224.4039,1225.4002,1201.0417,1222.8099,1782095
2024-06-03,AUTOAXLES.NS,1894.6276,1899.4357,1827.9824,1843.9297,21430
2024-06-03,AVANTIFEED.NS,509.9644,523.3934,492.7192,496.7769,404073
